0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
72;274.6;350.7;510.7;705.6;1058.7;1507;1776.3;2144.8;2505.9;2981.7;3269.3;3717.8;4115.3;4576.7;5170.8;5649.4;6145.6;6217.2;6554.8;6491.8;6428;6331;6661
69;286.1;508.6;493.2;809.4;1201;1466.4;1883.5;2225.3;2498.3;2860.5;3231.7;3614.4;4024;4479.5;5040.5;5587.8;6293.4;6688.2;7241.1;7259.5;5960;6186;6738
68;179.8;308.1;408.3;693.4;981.5;1338.4;1502.5;1832.4;2147.4;2560.5;2930.6;3363.5;3741.7;4314.7;4874;5276.7;5892.9;6430.6;6873.6;7050.1;6766;6461;7855
102;202.8;250.9;477.1;721;1051.5;1421.6;1785.1;2161.2;2587.3;2978.5;3411.7;3810;4195.7;4730.7;4926.3;5581.2;6332.8;6750.1;7392.7;7905.9;6596;6151;7519
78;145.3;255.4;465.1;604.8;1044;1406.6;1712.9;2107.5;2414.1;2738.4;3072.2;3417.6;3859.9;4192.4;4549.2;5197.7;5634.1;5824.7;6273;6609;6251;7344;7122
107;189.2;307.1;385.3;790.7;1196.5;1479.6;1763.5;1925.2;2562;2869.7;3333.1;3656.9;4029.8;4378.4;4813.9;5295.7;5700.4;6191.2;6639.8;7225.1;6536;7011;5949
77;333.1;308.2;399.3;647;1035.2;1410.9;1646.8;1962.4;2468.5;2777;3096.2;3508.6;3868.1;4175.1;4552.2;5037.6;5598.9;6020.1;6535.2;6690.4;6601;6498;6098
77;253.7;340.3;425;601.9;1108.2;1461.5;1728.7;2120.6;2492.4;2815.9;3078.1;3469.6;3858.7;4214.6;4672.5;4939.6;5437.9;5817.9;6312.7;6650.6;5885;7017;6008
106;368.4;469.9;559.7;845.2;1204.5;1481;1739.4;1963;2507.5;2793.5;3063.1;3516.9;3840.9;4049.4;4403.4;4804;5118.2;5593.7;5771.7;6303;6600;7018;6055
94;162.8;321.3;447.5;770.4;1070.2;1323;1560;1963.5;2486.4;2840.6;3155.5;3629.9;3961.8;4150.5;4507.4;4832.3;5274.4;5698.9;6198.3;5385;5962;6355;5927
57;243.4;540.4;583.3;838.9;1215.2;1534.1;1641.7;1908.1;2490.1;2765.9;3118.7;3520.4;3827;4032;4303.9;4731;5052.1;5546.8;6049.7;5655;6412;6638;7538
96;237.4;399;470.7;866.8;1092.6;1411.9;1623;1905.6;2400.1;2743.1;3076.9;3515;3848;4059.9;4429.8;4843.8;5088;5530.8;6065.8;5530;6097;6457;7408
103;116.2;273.2;447.8;803.9;1136.1;1311.4;1711.1;1972.4;2511.6;2817.7;3110.7;3562.9;3876.4;4109.7;4504.2;4834.9;5196.9;5552.8;5878.4;5582;6068;6740;6683
58;116.2;273.2;447.8;803.9;1136.1;1311.4;1711.1;1972.4;2511.6;2817.7;3110.7;3562.9;3876.4;4109.7;4504.2;4834.9;5196.9;5552.8;5878.4;5025;6028;7583;9104
102;116.2;273.2;447.8;803.9;1136.1;1311.4;1711.1;1972.4;2511.6;2817.7;3110.7;3562.9;3876.4;4109.7;4504.2;4834.9;5196.9;5552.8;5878.4;5962;6501;6296;6887
92;116.2;273.2;447.8;803.9;1136.1;1311.4;1711.1;1972.4;2511.6;2817.7;3110.7;3562.9;3876.4;4109.7;4504.2;4834.9;5196.9;5552.8;5878.4;6404.7;5843;6798;9787
